dataset,subject,session,pipeline,metric,score,fold,fold_policy,n_train,n_test,n_channels,time
Miller2019-motor_basic,bp,0,LogBandPower+LDA,kappa,1.0,0,chronological,48,12,47,1.219907522201538
Miller2019-motor_basic,bp,0,LogBandPower+LDA,accuracy,1.0,0,chronological,48,12,47,1.219907522201538
Miller2019-motor_basic,bp,0,LogBandPower+LDA,balanced_accuracy,1.0,0,chronological,48,12,47,1.219907522201538
Miller2019-motor_basic,bp,0,HighGamma+LDA,kappa,1.0,0,chronological,48,12,47,0.3393983840942383
Miller2019-motor_basic,bp,0,HighGamma+LDA,accuracy,1.0,0,chronological,48,12,47,0.3393983840942383
Miller2019-motor_basic,bp,0,HighGamma+LDA,balanced_accuracy,1.0,0,chronological,48,12,47,0.3393983840942383
Miller2019-motor_basic,bp,0,LogBandPower+LDA,kappa,1.0,1,chronological,48,12,47,1.1974973678588867
Miller2019-motor_basic,bp,0,LogBandPower+LDA,accuracy,1.0,1,chronological,48,12,47,1.1974973678588867
Miller2019-motor_basic,bp,0,LogBandPower+LDA,balanced_accuracy,1.0,1,chronological,48,12,47,1.1974973678588867
Miller2019-motor_basic,bp,0,HighGamma+LDA,kappa,1.0,1,chronological,48,12,47,0.3443012237548828
Miller2019-motor_basic,bp,0,HighGamma+LDA,accuracy,1.0,1,chronological,48,12,47,0.3443012237548828
Miller2019-motor_basic,bp,0,HighGamma+LDA,balanced_accuracy,1.0,1,chronological,48,12,47,0.3443012237548828
Miller2019-motor_basic,bp,0,LogBandPower+LDA,kappa,1.0,2,chronological,48,12,47,0.35948896408081055
Miller2019-motor_basic,bp,0,LogBandPower+LDA,accuracy,1.0,2,chronological,48,12,47,0.35948896408081055
Miller2019-motor_basic,bp,0,LogBandPower+LDA,balanced_accuracy,1.0,2,chronological,48,12,47,0.35948896408081055
Miller2019-motor_basic,bp,0,HighGamma+LDA,kappa,1.0,2,chronological,48,12,47,0.34189677238464355
Miller2019-motor_basic,bp,0,HighGamma+LDA,accuracy,1.0,2,chronological,48,12,47,0.34189677238464355
Miller2019-motor_basic,bp,0,HighGamma+LDA,balanced_accuracy,1.0,2,chronological,48,12,47,0.34189677238464355
Miller2019-motor_basic,bp,0,LogBandPower+LDA,kappa,1.0,3,chronological,48,12,47,0.3573601245880127
Miller2019-motor_basic,bp,0,LogBandPower+LDA,accuracy,1.0,3,chronological,48,12,47,0.3573601245880127
Miller2019-motor_basic,bp,0,LogBandPower+LDA,balanced_accuracy,1.0,3,chronological,48,12,47,0.3573601245880127
Miller2019-motor_basic,bp,0,HighGamma+LDA,kappa,1.0,3,chronological,48,12,47,0.34266066551208496
Miller2019-motor_basic,bp,0,HighGamma+LDA,accuracy,1.0,3,chronological,48,12,47,0.34266066551208496
Miller2019-motor_basic,bp,0,HighGamma+LDA,balanced_accuracy,1.0,3,chronological,48,12,47,0.34266066551208496
Miller2019-motor_basic,bp,0,LogBandPower+LDA,kappa,0.8333333333333334,4,chronological,48,12,47,0.3565037250518799
Miller2019-motor_basic,bp,0,LogBandPower+LDA,accuracy,0.9166666666666666,4,chronological,48,12,47,0.3565037250518799
Miller2019-motor_basic,bp,0,LogBandPower+LDA,balanced_accuracy,0.9166666666666667,4,chronological,48,12,47,0.3565037250518799
Miller2019-motor_basic,bp,0,HighGamma+LDA,kappa,0.8333333333333334,4,chronological,48,12,47,0.3408994674682617
Miller2019-motor_basic,bp,0,HighGamma+LDA,accuracy,0.9166666666666666,4,chronological,48,12,47,0.3408994674682617
Miller2019-motor_basic,bp,0,HighGamma+LDA,balanced_accuracy,0.9166666666666667,4,chronological,48,12,47,0.3408994674682617
Miller2019-motor_basic,ca,0,LogBandPower+LDA,kappa,0.6756756756756757,0,chronological,48,12,59,0.44936656951904297
Miller2019-motor_basic,ca,0,LogBandPower+LDA,accuracy,0.8333333333333334,0,chronological,48,12,59,0.44936656951904297
Miller2019-motor_basic,ca,0,LogBandPower+LDA,balanced_accuracy,0.8571428571428572,0,chronological,48,12,59,0.44936656951904297
Miller2019-motor_basic,ca,0,HighGamma+LDA,kappa,0.5,0,chronological,48,12,59,0.4259648323059082
Miller2019-motor_basic,ca,0,HighGamma+LDA,accuracy,0.75,0,chronological,48,12,59,0.4259648323059082
Miller2019-motor_basic,ca,0,HighGamma+LDA,balanced_accuracy,0.7571428571428571,0,chronological,48,12,59,0.4259648323059082
Miller2019-motor_basic,ca,0,LogBandPower+LDA,kappa,0.8235294117647058,1,chronological,48,12,59,0.4472343921661377
Miller2019-motor_basic,ca,0,LogBandPower+LDA,accuracy,0.9166666666666666,1,chronological,48,12,59,0.4472343921661377
Miller2019-motor_basic,ca,0,LogBandPower+LDA,balanced_accuracy,0.9,1,chronological,48,12,59,0.4472343921661377
Miller2019-motor_basic,ca,0,HighGamma+LDA,kappa,1.0,1,chronological,48,12,59,0.4249267578125
Miller2019-motor_basic,ca,0,HighGamma+LDA,accuracy,1.0,1,chronological,48,12,59,0.4249267578125
Miller2019-motor_basic,ca,0,HighGamma+LDA,balanced_accuracy,1.0,1,chronological,48,12,59,0.4249267578125
Miller2019-motor_basic,ca,0,LogBandPower+LDA,kappa,1.0,2,chronological,48,12,59,0.44685864448547363
Miller2019-motor_basic,ca,0,LogBandPower+LDA,accuracy,1.0,2,chronological,48,12,59,0.44685864448547363
Miller2019-motor_basic,ca,0,LogBandPower+LDA,balanced_accuracy,1.0,2,chronological,48,12,59,0.44685864448547363
Miller2019-motor_basic,ca,0,HighGamma+LDA,kappa,0.6756756756756757,2,chronological,48,12,59,0.43335652351379395
Miller2019-motor_basic,ca,0,HighGamma+LDA,accuracy,0.8333333333333334,2,chronological,48,12,59,0.43335652351379395
Miller2019-motor_basic,ca,0,HighGamma+LDA,balanced_accuracy,0.8571428571428572,2,chronological,48,12,59,0.43335652351379395
Miller2019-motor_basic,ca,0,LogBandPower+LDA,kappa,1.0,3,chronological,48,12,59,0.45389866828918457
Miller2019-motor_basic,ca,0,LogBandPower+LDA,accuracy,1.0,3,chronological,48,12,59,0.45389866828918457
Miller2019-motor_basic,ca,0,LogBandPower+LDA,balanced_accuracy,1.0,3,chronological,48,12,59,0.45389866828918457
Miller2019-motor_basic,ca,0,HighGamma+LDA,kappa,0.5,3,chronological,48,12,59,0.42825913429260254
Miller2019-motor_basic,ca,0,HighGamma+LDA,accuracy,0.75,3,chronological,48,12,59,0.42825913429260254
