dataset,subject,session,pipeline,metric,score,fold,n_train,n_test,n_channels,time
Miller2019-faces_basic,aa,faceshouses,LogBandPower+LDA,accuracy,0.6166666666666667,0,240,60,46,1.7135887145996094
Miller2019-faces_basic,aa,faceshouses,LogBandPower+LDA,balanced_accuracy,0.6166666666666667,0,240,60,46,1.7135887145996094
Miller2019-faces_basic,aa,faceshouses,LogBandPower+LDA,kappa,0.23333333333333328,0,240,60,46,1.7135887145996094
Miller2019-faces_basic,aa,faceshouses,HighGamma+LDA,accuracy,0.6,0,240,60,46,0.20257234573364258
Miller2019-faces_basic,aa,faceshouses,HighGamma+LDA,balanced_accuracy,0.6000000000000001,0,240,60,46,0.20257234573364258
Miller2019-faces_basic,aa,faceshouses,HighGamma+LDA,kappa,0.19999999999999996,0,240,60,46,0.20257234573364258
Miller2019-faces_basic,aa,faceshouses,LogBandPower+LDA,accuracy,0.6833333333333333,1,240,60,46,0.22363758087158203
Miller2019-faces_basic,aa,faceshouses,LogBandPower+LDA,balanced_accuracy,0.6833333333333333,1,240,60,46,0.22363758087158203
Miller2019-faces_basic,aa,faceshouses,LogBandPower+LDA,kappa,0.3666666666666667,1,240,60,46,0.22363758087158203
Miller2019-faces_basic,aa,faceshouses,HighGamma+LDA,accuracy,0.55,1,240,60,46,0.20203137397766113
Miller2019-faces_basic,aa,faceshouses,HighGamma+LDA,balanced_accuracy,0.55,1,240,60,46,0.20203137397766113
Miller2019-faces_basic,aa,faceshouses,HighGamma+LDA,kappa,0.09999999999999998,1,240,60,46,0.20203137397766113
Miller2019-faces_basic,aa,faceshouses,LogBandPower+LDA,accuracy,0.6166666666666667,2,240,60,46,0.22081923484802246
Miller2019-faces_basic,aa,faceshouses,LogBandPower+LDA,balanced_accuracy,0.6183035714285714,2,240,60,46,0.22081923484802246
Miller2019-faces_basic,aa,faceshouses,LogBandPower+LDA,kappa,0.2350332594235034,2,240,60,46,0.22081923484802246
Miller2019-faces_basic,aa,faceshouses,HighGamma+LDA,accuracy,0.5166666666666667,2,240,60,46,0.20200729370117188
Miller2019-faces_basic,aa,faceshouses,HighGamma+LDA,balanced_accuracy,0.5133928571428572,2,240,60,46,0.20200729370117188
Miller2019-faces_basic,aa,faceshouses,HighGamma+LDA,kappa,0.02684563758389269,2,240,60,46,0.20200729370117188
Miller2019-faces_basic,aa,faceshouses,LogBandPower+LDA,accuracy,0.6666666666666666,3,240,60,46,0.2173175811767578
Miller2019-faces_basic,aa,faceshouses,LogBandPower+LDA,balanced_accuracy,0.660633484162896,3,240,60,46,0.2173175811767578
Miller2019-faces_basic,aa,faceshouses,LogBandPower+LDA,kappa,0.3212669683257918,3,240,60,46,0.2173175811767578
Miller2019-faces_basic,aa,faceshouses,HighGamma+LDA,accuracy,0.5666666666666667,3,240,60,46,0.2021808624267578
Miller2019-faces_basic,aa,faceshouses,HighGamma+LDA,balanced_accuracy,0.5497737556561086,3,240,60,46,0.2021808624267578
Miller2019-faces_basic,aa,faceshouses,HighGamma+LDA,kappa,0.10138248847926257,3,240,60,46,0.2021808624267578
Miller2019-faces_basic,aa,faceshouses,LogBandPower+LDA,accuracy,0.6333333333333333,4,240,60,46,0.21774697303771973
Miller2019-faces_basic,aa,faceshouses,LogBandPower+LDA,balanced_accuracy,0.6450892857142857,4,240,60,46,0.21774697303771973
Miller2019-faces_basic,aa,faceshouses,LogBandPower+LDA,kappa,0.28260869565217384,4,240,60,46,0.21774697303771973
Miller2019-faces_basic,aa,faceshouses,HighGamma+LDA,accuracy,0.48333333333333334,4,240,60,46,0.2017662525177002
Miller2019-faces_basic,aa,faceshouses,HighGamma+LDA,balanced_accuracy,0.49776785714285715,4,240,60,46,0.2017662525177002
Miller2019-faces_basic,aa,faceshouses,HighGamma+LDA,kappa,-0.004319654427645814,4,240,60,46,0.2017662525177002
Miller2019-faces_basic,ap,faceshouses,LogBandPower+LDA,accuracy,0.75,0,240,60,41,0.19780969619750977
Miller2019-faces_basic,ap,faceshouses,LogBandPower+LDA,balanced_accuracy,0.75,0,240,60,41,0.19780969619750977
Miller2019-faces_basic,ap,faceshouses,LogBandPower+LDA,kappa,0.5,0,240,60,41,0.19780969619750977
Miller2019-faces_basic,ap,faceshouses,HighGamma+LDA,accuracy,0.8,0,240,60,41,0.17376422882080078
Miller2019-faces_basic,ap,faceshouses,HighGamma+LDA,balanced_accuracy,0.8,0,240,60,41,0.17376422882080078
Miller2019-faces_basic,ap,faceshouses,HighGamma+LDA,kappa,0.6,0,240,60,41,0.17376422882080078
