dataset,subject,session,pipeline,metric,score,fold,fold_policy,n_train,n_test,n_channels,time
Miller2019-fingerflex,bp,0,LogBandPower+Ridge,pearson_r,0.30153525577915335,0,chronological,9744,2438,46,7.857849597930908
Miller2019-fingerflex,bp,0,LogBandPower+Ridge,r2,-0.09403687752387915,0,chronological,9744,2438,46,7.857849597930908
Miller2019-fingerflex,bp,0,HighGamma+Ridge,pearson_r,0.31904907811947314,0,chronological,9744,2438,46,7.6817662715911865
Miller2019-fingerflex,bp,0,HighGamma+Ridge,r2,-0.09409814607936558,0,chronological,9744,2438,46,7.6817662715911865
Miller2019-fingerflex,bp,0,LogBandPower+Ridge,pearson_r,0.3036548846816722,1,chronological,9735,2438,46,7.832704305648804
Miller2019-fingerflex,bp,0,LogBandPower+Ridge,r2,-0.02333584486767255,1,chronological,9735,2438,46,7.832704305648804
Miller2019-fingerflex,bp,0,HighGamma+Ridge,pearson_r,0.3452646624511718,1,chronological,9735,2438,46,7.675717115402222
Miller2019-fingerflex,bp,0,HighGamma+Ridge,r2,0.03316596899601887,1,chronological,9735,2438,46,7.675717115402222
Miller2019-fingerflex,bp,0,LogBandPower+Ridge,pearson_r,0.2423047121244692,2,chronological,9735,2438,46,7.837303161621094
Miller2019-fingerflex,bp,0,LogBandPower+Ridge,r2,-0.058878688477705055,2,chronological,9735,2438,46,7.837303161621094
Miller2019-fingerflex,bp,0,HighGamma+Ridge,pearson_r,0.27686972140989197,2,chronological,9735,2438,46,7.6814045906066895
Miller2019-fingerflex,bp,0,HighGamma+Ridge,r2,0.02440916116152314,2,chronological,9735,2438,46,7.6814045906066895
Miller2019-fingerflex,bp,0,LogBandPower+Ridge,pearson_r,0.25579490736922744,3,chronological,9735,2438,46,7.832206726074219
Miller2019-fingerflex,bp,0,LogBandPower+Ridge,r2,-0.10135600774542217,3,chronological,9735,2438,46,7.832206726074219
Miller2019-fingerflex,bp,0,HighGamma+Ridge,pearson_r,0.2785854994569999,3,chronological,9735,2438,46,7.678359746932983
Miller2019-fingerflex,bp,0,HighGamma+Ridge,r2,-0.04740955166292875,3,chronological,9735,2438,46,7.678359746932983
Miller2019-fingerflex,bp,0,LogBandPower+Ridge,pearson_r,0.22951991350839576,4,chronological,9743,2439,46,7.836804628372192
Miller2019-fingerflex,bp,0,LogBandPower+Ridge,r2,-0.34404291765047323,4,chronological,9743,2439,46,7.836804628372192
Miller2019-fingerflex,bp,0,HighGamma+Ridge,pearson_r,0.2603919119263159,4,chronological,9743,2439,46,7.672162294387817
Miller2019-fingerflex,bp,0,HighGamma+Ridge,r2,-0.28281253666979866,4,chronological,9743,2439,46,7.672162294387817
Miller2019-fingerflex,cc,0,LogBandPower+Ridge,pearson_r,0.4756768574492618,0,chronological,9744,2438,63,11.548693418502808
Miller2019-fingerflex,cc,0,LogBandPower+Ridge,r2,0.1596525790948671,0,chronological,9744,2438,63,11.548693418502808
Miller2019-fingerflex,cc,0,HighGamma+Ridge,pearson_r,0.5038069129371532,0,chronological,9744,2438,63,11.226125240325928
Miller2019-fingerflex,cc,0,HighGamma+Ridge,r2,0.1910671842484182,0,chronological,9744,2438,63,11.226125240325928
Miller2019-fingerflex,cc,0,LogBandPower+Ridge,pearson_r,0.4993977352227155,1,chronological,9735,2438,63,11.486978769302368
Miller2019-fingerflex,cc,0,LogBandPower+Ridge,r2,0.19137904426243382,1,chronological,9735,2438,63,11.486978769302368
Miller2019-fingerflex,cc,0,HighGamma+Ridge,pearson_r,0.494570420990624,1,chronological,9735,2438,63,11.195441246032715
Miller2019-fingerflex,cc,0,HighGamma+Ridge,r2,0.21191558026751028,1,chronological,9735,2438,63,11.195441246032715
Miller2019-fingerflex,cc,0,LogBandPower+Ridge,pearson_r,0.4534469122894385,2,chronological,9735,2438,63,11.513924360275269
Miller2019-fingerflex,cc,0,LogBandPower+Ridge,r2,0.10302629644587533,2,chronological,9735,2438,63,11.513924360275269
Miller2019-fingerflex,cc,0,HighGamma+Ridge,pearson_r,0.45255535852896084,2,chronological,9735,2438,63,11.195449829101562
Miller2019-fingerflex,cc,0,HighGamma+Ridge,r2,0.120184678954054,2,chronological,9735,2438,63,11.195449829101562
Miller2019-fingerflex,cc,0,LogBandPower+Ridge,pearson_r,0.42322802180359187,3,chronological,9735,2438,63,11.504575252532959
Miller2019-fingerflex,cc,0,LogBandPower+Ridge,r2,0.034276709219421345,3,chronological,9735,2438,63,11.504575252532959
Miller2019-fingerflex,cc,0,HighGamma+Ridge,pearson_r,0.4123471473210076,3,chronological,9735,2438,63,11.198663234710693
Miller2019-fingerflex,cc,0,HighGamma+Ridge,r2,0.07682840431926305,3,chronological,9735,2438,63,11.198663234710693
Miller2019-fingerflex,cc,0,LogBandPower+Ridge,pearson_r,0.40261692169361335,4,chronological,9743,2439,63,11.53938364982605
Miller2019-fingerflex,cc,0,LogBandPower+Ridge,r2,0.03547301831506981,4,chronological,9743,2439,63,11.53938364982605
Miller2019-fingerflex,cc,0,HighGamma+Ridge,pearson_r,0.3867618266233781,4,chronological,9743,2439,63,11.22951602935791
Miller2019-fingerflex,cc,0,HighGamma+Ridge,r2,0.06164040304317266,4,chronological,9743,2439,63,11.22951602935791
Miller2019-fingerflex,ht,0,LogBandPower+Ridge,pearson_r,0.21845417565615297,0,chronological,9744,2438,64,11.813295602798462
Miller2019-fingerflex,ht,0,LogBandPower+Ridge,r2,-0.07878025792759054,0,chronological,9744,2438,64,11.813295602798462
Miller2019-fingerflex,ht,0,HighGamma+Ridge,pearson_r,0.23587364477358777,0,chronological,9744,2438,64,11.488979816436768
Miller2019-fingerflex,ht,0,HighGamma+Ridge,r2,-0.035970338633307654,0,chronological,9744,2438,64,11.488979816436768
Miller2019-fingerflex,ht,0,LogBandPower+Ridge,pearson_r,0.1987997952115688,1,chronological,9735,2438,64,11.794633865356445
Miller2019-fingerflex,ht,0,LogBandPower+Ridge,r2,-0.028677714900407714,1,chronological,9735,2438,64,11.794633865356445
Miller2019-fingerflex,ht,0,HighGamma+Ridge,pearson_r,0.2016200190239025,1,chronological,9735,2438,64,11.479218482971191
Miller2019-fingerflex,ht,0,HighGamma+Ridge,r2,0.0006073681975160783,1,chronological,9735,2438,64,11.479218482971191
Miller2019-fingerflex,ht,0,LogBandPower+Ridge,pearson_r,0.19181080198609657,2,chronological,9735,2438,64,11.801068305969238
Miller2019-fingerflex,ht,0,LogBandPower+Ridge,r2,-0.04534681854502225,2,chronological,9735,2438,64,11.801068305969238
Miller2019-fingerflex,ht,0,HighGamma+Ridge,pearson_r,0.17934141011891858,2,chronological,9735,2438,64,11.48954963684082
Miller2019-fingerflex,ht,0,HighGamma+Ridge,r2,-0.003414001857963833,2,chronological,9735,2438,64,11.48954963684082
Miller2019-fingerflex,ht,0,LogBandPower+Ridge,pearson_r,0.19765635473358326,3,chronological,9735,2438,64,11.721599340438843
Miller2019-fingerflex,ht,0,LogBandPower+Ridge,r2,-0.037427462574944316,3,chronological,9735,2438,64,11.721599340438843
Miller2019-fingerflex,ht,0,HighGamma+Ridge,pearson_r,0.19894090232919742,3,chronological,9735,2438,64,11.500900506973267
Miller2019-fingerflex,ht,0,HighGamma+Ridge,r2,-0.008835987633945575,3,chronological,9735,2438,64,11.500900506973267
Miller2019-fingerflex,ht,0,LogBandPower+Ridge,pearson_r,0.19264100399773096,4,chronological,9743,2439,64,11.72864580154419
Miller2019-fingerflex,ht,0,LogBandPower+Ridge,r2,-0.16791391691936028,4,chronological,9743,2439,64,11.72864580154419
Miller2019-fingerflex,ht,0,HighGamma+Ridge,pearson_r,0.18782602084010963,4,chronological,9743,2439,64,11.482042074203491
Miller2019-fingerflex,ht,0,HighGamma+Ridge,r2,-0.15389404086091132,4,chronological,9743,2439,64,11.482042074203491
Miller2019-fingerflex,jc,0,LogBandPower+Ridge,pearson_r,0.3118213786082563,0,chronological,8471,2119,47,6.9931910037994385
