dataset,subject,session,pipeline,metric,score,fold,fold_policy,n_train,n_test,n_channels,time
Miller2019-imagery_basic,bp,mot,LogBandPower+LDA,kappa,1.0,0,chronological,48,12,46,1.4605505466461182
Miller2019-imagery_basic,bp,mot,LogBandPower+LDA,accuracy,1.0,0,chronological,48,12,46,1.4605505466461182
Miller2019-imagery_basic,bp,mot,LogBandPower+LDA,balanced_accuracy,1.0,0,chronological,48,12,46,1.4605505466461182
Miller2019-imagery_basic,bp,mot,HighGamma+LDA,kappa,1.0,0,chronological,48,12,46,0.337573766708374
Miller2019-imagery_basic,bp,mot,HighGamma+LDA,accuracy,1.0,0,chronological,48,12,46,0.337573766708374
Miller2019-imagery_basic,bp,mot,HighGamma+LDA,balanced_accuracy,1.0,0,chronological,48,12,46,0.337573766708374
Miller2019-imagery_basic,bp,mot,LogBandPower+LDA,kappa,1.0,1,chronological,48,12,46,1.1017143726348877
Miller2019-imagery_basic,bp,mot,LogBandPower+LDA,accuracy,1.0,1,chronological,48,12,46,1.1017143726348877
Miller2019-imagery_basic,bp,mot,LogBandPower+LDA,balanced_accuracy,1.0,1,chronological,48,12,46,1.1017143726348877
Miller2019-imagery_basic,bp,mot,HighGamma+LDA,kappa,1.0,1,chronological,48,12,46,0.33971071243286133
Miller2019-imagery_basic,bp,mot,HighGamma+LDA,accuracy,1.0,1,chronological,48,12,46,0.33971071243286133
Miller2019-imagery_basic,bp,mot,HighGamma+LDA,balanced_accuracy,1.0,1,chronological,48,12,46,0.33971071243286133
Miller2019-imagery_basic,bp,mot,LogBandPower+LDA,kappa,1.0,2,chronological,48,12,46,0.35445547103881836
Miller2019-imagery_basic,bp,mot,LogBandPower+LDA,accuracy,1.0,2,chronological,48,12,46,0.35445547103881836
Miller2019-imagery_basic,bp,mot,LogBandPower+LDA,balanced_accuracy,1.0,2,chronological,48,12,46,0.35445547103881836
Miller2019-imagery_basic,bp,mot,HighGamma+LDA,kappa,1.0,2,chronological,48,12,46,0.3381919860839844
Miller2019-imagery_basic,bp,mot,HighGamma+LDA,accuracy,1.0,2,chronological,48,12,46,0.3381919860839844
Miller2019-imagery_basic,bp,mot,HighGamma+LDA,balanced_accuracy,1.0,2,chronological,48,12,46,0.3381919860839844
Miller2019-imagery_basic,bp,mot,LogBandPower+LDA,kappa,1.0,3,chronological,48,12,46,0.3558173179626465
Miller2019-imagery_basic,bp,mot,LogBandPower+LDA,accuracy,1.0,3,chronological,48,12,46,0.3558173179626465
Miller2019-imagery_basic,bp,mot,LogBandPower+LDA,balanced_accuracy,1.0,3,chronological,48,12,46,0.3558173179626465
Miller2019-imagery_basic,bp,mot,HighGamma+LDA,kappa,1.0,3,chronological,48,12,46,0.33518171310424805
Miller2019-imagery_basic,bp,mot,HighGamma+LDA,accuracy,1.0,3,chronological,48,12,46,0.33518171310424805
Miller2019-imagery_basic,bp,mot,HighGamma+LDA,balanced_accuracy,1.0,3,chronological,48,12,46,0.33518171310424805
Miller2019-imagery_basic,bp,mot,LogBandPower+LDA,kappa,0.8333333333333334,4,chronological,48,12,46,0.35329365730285645
Miller2019-imagery_basic,bp,mot,LogBandPower+LDA,accuracy,0.9166666666666666,4,chronological,48,12,46,0.35329365730285645
Miller2019-imagery_basic,bp,mot,LogBandPower+LDA,balanced_accuracy,0.9166666666666667,4,chronological,48,12,46,0.35329365730285645
Miller2019-imagery_basic,bp,mot,HighGamma+LDA,kappa,0.8333333333333334,4,chronological,48,12,46,0.3361632823944092
Miller2019-imagery_basic,bp,mot,HighGamma+LDA,accuracy,0.9166666666666666,4,chronological,48,12,46,0.3361632823944092
Miller2019-imagery_basic,bp,mot,HighGamma+LDA,balanced_accuracy,0.9166666666666667,4,chronological,48,12,46,0.3361632823944092
Miller2019-imagery_basic,bp,im,LogBandPower+LDA,kappa,0.3142857142857143,0,chronological,48,12,46,0.35753345489501953
Miller2019-imagery_basic,bp,im,LogBandPower+LDA,accuracy,0.6666666666666666,0,chronological,48,12,46,0.35753345489501953
Miller2019-imagery_basic,bp,im,LogBandPower+LDA,balanced_accuracy,0.6571428571428571,0,chronological,48,12,46,0.35753345489501953
Miller2019-imagery_basic,bp,im,HighGamma+LDA,kappa,-0.09090909090909083,0,chronological,48,12,46,0.33480286598205566
Miller2019-imagery_basic,bp,im,HighGamma+LDA,accuracy,0.5,0,chronological,48,12,46,0.33480286598205566
Miller2019-imagery_basic,bp,im,HighGamma+LDA,balanced_accuracy,0.4571428571428572,0,chronological,48,12,46,0.33480286598205566
Miller2019-imagery_basic,bp,im,LogBandPower+LDA,kappa,-0.16666666666666674,1,chronological,48,12,46,0.3552887439727783
Miller2019-imagery_basic,bp,im,LogBandPower+LDA,accuracy,0.4166666666666667,1,chronological,48,12,46,0.3552887439727783
Miller2019-imagery_basic,bp,im,LogBandPower+LDA,balanced_accuracy,0.41428571428571426,1,chronological,48,12,46,0.3552887439727783
Miller2019-imagery_basic,bp,im,HighGamma+LDA,kappa,-0.16666666666666674,1,chronological,48,12,46,0.3364980220794678
Miller2019-imagery_basic,bp,im,HighGamma+LDA,accuracy,0.4166666666666667,1,chronological,48,12,46,0.3364980220794678
Miller2019-imagery_basic,bp,im,HighGamma+LDA,balanced_accuracy,0.41428571428571426,1,chronological,48,12,46,0.3364980220794678
Miller2019-imagery_basic,bp,im,LogBandPower+LDA,kappa,0.33333333333333337,2,chronological,48,12,46,1.0889410972595215
Miller2019-imagery_basic,bp,im,LogBandPower+LDA,accuracy,0.6666666666666666,2,chronological,48,12,46,1.0889410972595215
Miller2019-imagery_basic,bp,im,LogBandPower+LDA,balanced_accuracy,0.6875,2,chronological,48,12,46,1.0889410972595215
Miller2019-imagery_basic,bp,im,HighGamma+LDA,kappa,0.11764705882352944,2,chronological,48,12,46,0.3365771770477295
Miller2019-imagery_basic,bp,im,HighGamma+LDA,accuracy,0.5833333333333334,2,chronological,48,12,46,0.3365771770477295
Miller2019-imagery_basic,bp,im,HighGamma+LDA,balanced_accuracy,0.5625,2,chronological,48,12,46,0.3365771770477295
Miller2019-imagery_basic,bp,im,LogBandPower+LDA,kappa,-0.33333333333333326,3,chronological,48,12,46,0.35865139961242676
Miller2019-imagery_basic,bp,im,LogBandPower+LDA,accuracy,0.3333333333333333,3,chronological,48,12,46,0.35865139961242676
Miller2019-imagery_basic,bp,im,LogBandPower+LDA,balanced_accuracy,0.3333333333333333,3,chronological,48,12,46,0.35865139961242676
Miller2019-imagery_basic,bp,im,HighGamma+LDA,kappa,0.0,3,chronological,48,12,46,0.3390016555786133
Miller2019-imagery_basic,bp,im,HighGamma+LDA,accuracy,0.5,3,chronological,48,12,46,0.3390016555786133
Miller2019-imagery_basic,bp,im,HighGamma+LDA,balanced_accuracy,0.5,3,chronological,48,12,46,0.3390016555786133
Miller2019-imagery_basic,bp,im,LogBandPower+LDA,kappa,0.8333333333333334,4,chronological,48,12,46,0.36332201957702637
Miller2019-imagery_basic,bp,im,LogBandPower+LDA,accuracy,0.9166666666666666,4,chronological,48,12,46,0.36332201957702637
Miller2019-imagery_basic,bp,im,LogBandPower+LDA,balanced_accuracy,0.9166666666666667,4,chronological,48,12,46,0.36332201957702637
Miller2019-imagery_basic,bp,im,HighGamma+LDA,kappa,0.6666666666666667,4,chronological,48,12,46,0.3341536521911621
Miller2019-imagery_basic,bp,im,HighGamma+LDA,accuracy,0.8333333333333334,4,chronological,48,12,46,0.3341536521911621
Miller2019-imagery_basic,bp,im,HighGamma+LDA,balanced_accuracy,0.8333333333333333,4,chronological,48,12,46,0.3341536521911621
Miller2019-imagery_basic,fp,mot,LogBandPower+LDA,kappa,0.6756756756756757,0,chronological,48,12,64,1.443223237991333
Miller2019-imagery_basic,fp,mot,LogBandPower+LDA,accuracy,0.8333333333333334,0,chronological,48,12,64,1.443223237991333
Miller2019-imagery_basic,fp,mot,LogBandPower+LDA,balanced_accuracy,0.8571428571428572,0,chronological,48,12,64,1.443223237991333
Miller2019-imagery_basic,fp,mot,HighGamma+LDA,kappa,0.8333333333333334,0,chronological,48,12,64,0.47178077697753906
Miller2019-imagery_basic,fp,mot,HighGamma+LDA,accuracy,0.9166666666666666,0,chronological,48,12,64,0.47178077697753906
Miller2019-imagery_basic,fp,mot,HighGamma+LDA,balanced_accuracy,0.9285714285714286,0,chronological,48,12,64,0.47178077697753906
Miller2019-imagery_basic,fp,mot,LogBandPower+LDA,kappa,1.0,1,chronological,48,12,64,1.950873613357544
Miller2019-imagery_basic,fp,mot,LogBandPower+LDA,accuracy,1.0,1,chronological,48,12,64,1.950873613357544
Miller2019-imagery_basic,fp,mot,LogBandPower+LDA,balanced_accuracy,1.0,1,chronological,48,12,64,1.950873613357544
Miller2019-imagery_basic,fp,mot,HighGamma+LDA,kappa,1.0,1,chronological,48,12,64,0.46422696113586426
Miller2019-imagery_basic,fp,mot,HighGamma+LDA,accuracy,1.0,1,chronological,48,12,64,0.46422696113586426
Miller2019-imagery_basic,fp,mot,HighGamma+LDA,balanced_accuracy,1.0,1,chronological,48,12,64,0.46422696113586426
