dataset,subject,session,pipeline,metric,score,fold,n_train,n_test,n_channels,time
Miller2019-motor_basic,bp,0,LogBandPower+LDA,accuracy,1.0,0,48,12,47,0.5756006240844727
Miller2019-motor_basic,bp,0,LogBandPower+LDA,balanced_accuracy,1.0,0,48,12,47,0.5756006240844727
Miller2019-motor_basic,bp,0,LogBandPower+LDA,kappa,1.0,0,48,12,47,0.5756006240844727
Miller2019-motor_basic,bp,0,HighGamma+LDA,accuracy,1.0,0,48,12,47,0.34319591522216797
Miller2019-motor_basic,bp,0,HighGamma+LDA,balanced_accuracy,1.0,0,48,12,47,0.34319591522216797
Miller2019-motor_basic,bp,0,HighGamma+LDA,kappa,1.0,0,48,12,47,0.34319591522216797
Miller2019-motor_basic,bp,0,LogBandPower+LDA,accuracy,1.0,1,48,12,47,0.3669886589050293
Miller2019-motor_basic,bp,0,LogBandPower+LDA,balanced_accuracy,1.0,1,48,12,47,0.3669886589050293
Miller2019-motor_basic,bp,0,LogBandPower+LDA,kappa,1.0,1,48,12,47,0.3669886589050293
Miller2019-motor_basic,bp,0,HighGamma+LDA,accuracy,1.0,1,48,12,47,0.3450355529785156
Miller2019-motor_basic,bp,0,HighGamma+LDA,balanced_accuracy,1.0,1,48,12,47,0.3450355529785156
Miller2019-motor_basic,bp,0,HighGamma+LDA,kappa,1.0,1,48,12,47,0.3450355529785156
Miller2019-motor_basic,bp,0,LogBandPower+LDA,accuracy,1.0,2,48,12,47,1.203390121459961
Miller2019-motor_basic,bp,0,LogBandPower+LDA,balanced_accuracy,1.0,2,48,12,47,1.203390121459961
Miller2019-motor_basic,bp,0,LogBandPower+LDA,kappa,1.0,2,48,12,47,1.203390121459961
Miller2019-motor_basic,bp,0,HighGamma+LDA,accuracy,1.0,2,48,12,47,0.33829784393310547
Miller2019-motor_basic,bp,0,HighGamma+LDA,balanced_accuracy,1.0,2,48,12,47,0.33829784393310547
Miller2019-motor_basic,bp,0,HighGamma+LDA,kappa,1.0,2,48,12,47,0.33829784393310547
Miller2019-motor_basic,bp,0,LogBandPower+LDA,accuracy,1.0,3,48,12,47,0.660571813583374
Miller2019-motor_basic,bp,0,LogBandPower+LDA,balanced_accuracy,1.0,3,48,12,47,0.660571813583374
Miller2019-motor_basic,bp,0,LogBandPower+LDA,kappa,1.0,3,48,12,47,0.660571813583374
Miller2019-motor_basic,bp,0,HighGamma+LDA,accuracy,1.0,3,48,12,47,0.3466315269470215
Miller2019-motor_basic,bp,0,HighGamma+LDA,balanced_accuracy,1.0,3,48,12,47,0.3466315269470215
Miller2019-motor_basic,bp,0,HighGamma+LDA,kappa,1.0,3,48,12,47,0.3466315269470215
Miller2019-motor_basic,bp,0,LogBandPower+LDA,accuracy,0.9166666666666666,4,48,12,47,0.3563680648803711
Miller2019-motor_basic,bp,0,LogBandPower+LDA,balanced_accuracy,0.9166666666666667,4,48,12,47,0.3563680648803711
