dataset,subject,session,pipeline,metric,score,fold,fold_policy,n_train,n_test,n_channels,time,pipeline_digest,paradigm_digest,evaluation,moecog_version,computed_at
Miller2019-fingerflex,bp,0,HighGamma + Ridge,pearson_r,0.31904907811947314,0,chronological,9744,2438,46,17.756965160369873,d64858d8d288,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:26:31
Miller2019-fingerflex,bp,0,HighGamma + Ridge,r2,-0.09409814607936533,0,chronological,9744,2438,46,17.756965160369873,d64858d8d288,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:26:31
Miller2019-fingerflex,bp,0,LogBandPower + Ridge,pearson_r,0.30153525577915347,0,chronological,9744,2438,46,15.403512239456177,a92d25ac87e2,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:26:31
Miller2019-fingerflex,bp,0,LogBandPower + Ridge,r2,-0.09403687752387832,0,chronological,9744,2438,46,15.403512239456177,a92d25ac87e2,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:26:31
Miller2019-fingerflex,bp,0,HighGamma + Ridge,pearson_r,0.3452646624511718,1,chronological,9735,2438,46,15.260305881500244,d64858d8d288,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:26:31
Miller2019-fingerflex,bp,0,HighGamma + Ridge,r2,0.03316596899601898,1,chronological,9735,2438,46,15.260305881500244,d64858d8d288,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:26:31
Miller2019-fingerflex,bp,0,LogBandPower + Ridge,pearson_r,0.30365488468167223,1,chronological,9735,2438,46,14.731542825698853,a92d25ac87e2,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:26:31
Miller2019-fingerflex,bp,0,LogBandPower + Ridge,r2,-0.023335844867672373,1,chronological,9735,2438,46,14.731542825698853,a92d25ac87e2,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:26:31
Miller2019-fingerflex,bp,0,HighGamma + Ridge,pearson_r,0.2768697214098921,2,chronological,9735,2438,46,15.093071699142456,d64858d8d288,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:26:31
Miller2019-fingerflex,bp,0,HighGamma + Ridge,r2,0.024409161161523075,2,chronological,9735,2438,46,15.093071699142456,d64858d8d288,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:26:31
Miller2019-fingerflex,bp,0,LogBandPower + Ridge,pearson_r,0.24230471212446916,2,chronological,9735,2438,46,13.944154024124146,a92d25ac87e2,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:26:31
Miller2019-fingerflex,bp,0,LogBandPower + Ridge,r2,-0.058878688477705055,2,chronological,9735,2438,46,13.944154024124146,a92d25ac87e2,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:26:31
Miller2019-fingerflex,bp,0,HighGamma + Ridge,pearson_r,0.27858549945699973,3,chronological,9735,2438,46,15.793947219848633,d64858d8d288,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:26:31
Miller2019-fingerflex,bp,0,HighGamma + Ridge,r2,-0.047409551662928796,3,chronological,9735,2438,46,15.793947219848633,d64858d8d288,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:26:31
Miller2019-fingerflex,bp,0,LogBandPower + Ridge,pearson_r,0.25579490736922733,3,chronological,9735,2438,46,14.512277841567993,a92d25ac87e2,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:26:31
Miller2019-fingerflex,bp,0,LogBandPower + Ridge,r2,-0.10135600774542244,3,chronological,9735,2438,46,14.512277841567993,a92d25ac87e2,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:26:31
Miller2019-fingerflex,bp,0,HighGamma + Ridge,pearson_r,0.26039191192631594,4,chronological,9743,2439,46,22.278995752334595,d64858d8d288,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:26:31
Miller2019-fingerflex,bp,0,HighGamma + Ridge,r2,-0.2828125366697983,4,chronological,9743,2439,46,22.278995752334595,d64858d8d288,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:26:31
Miller2019-fingerflex,bp,0,LogBandPower + Ridge,pearson_r,0.22951991350839585,4,chronological,9743,2439,46,24.560898780822754,a92d25ac87e2,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:26:31
Miller2019-fingerflex,bp,0,LogBandPower + Ridge,r2,-0.3440429176504735,4,chronological,9743,2439,46,24.560898780822754,a92d25ac87e2,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:26:31
Miller2019-fingerflex,cc,0,HighGamma + Ridge,pearson_r,0.5038069129371532,0,chronological,9744,2438,63,52.62200713157654,d64858d8d288,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:33:08
Miller2019-fingerflex,cc,0,HighGamma + Ridge,r2,0.19106718424841837,0,chronological,9744,2438,63,52.62200713157654,d64858d8d288,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:33:08
Miller2019-fingerflex,cc,0,LogBandPower + Ridge,pearson_r,0.4756768574492621,0,chronological,9744,2438,63,24.740518808364868,a92d25ac87e2,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:33:08
Miller2019-fingerflex,cc,0,LogBandPower + Ridge,r2,0.15965257909486721,0,chronological,9744,2438,63,24.740518808364868,a92d25ac87e2,9e58c68252ca,within_subject,0.3.0.dev0,2026-09-10T20:33:08
