dataset,subject,session,pipeline,metric,score,fold,fold_policy,n_train,n_test,n_channels,time,pipeline_digest,paradigm_digest,evaluation,moecog_version,computed_at
Miller2019-imagery_basic,bp,mot,HighGamma + LDA,kappa,1.0,0,chronological,48,12,46,0.27890801429748535,f0ad027786a9,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,HighGamma + LDA,accuracy,1.0,0,chronological,48,12,46,0.27890801429748535,f0ad027786a9,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,HighGamma + LDA,balanced_accuracy,1.0,0,chronological,48,12,46,0.27890801429748535,f0ad027786a9,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LDA,kappa,1.0,0,chronological,48,12,46,0.15774822235107422,ad4c2abc31c8,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LDA,accuracy,1.0,0,chronological,48,12,46,0.15774822235107422,ad4c2abc31c8,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LDA,balanced_accuracy,1.0,0,chronological,48,12,46,0.15774822235107422,ad4c2abc31c8,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LogReg,kappa,1.0,0,chronological,48,12,46,0.1674489974975586,688f919f3ab0,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LogReg,accuracy,1.0,0,chronological,48,12,46,0.1674489974975586,688f919f3ab0,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LogReg,balanced_accuracy,1.0,0,chronological,48,12,46,0.1674489974975586,688f919f3ab0,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,Riemann TS + LogReg,kappa,0.8235294117647058,0,chronological,48,12,46,0.2426760196685791,b4736e60e22e,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,Riemann TS + LogReg,accuracy,0.9166666666666666,0,chronological,48,12,46,0.2426760196685791,b4736e60e22e,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,Riemann TS + LogReg,balanced_accuracy,0.9375,0,chronological,48,12,46,0.2426760196685791,b4736e60e22e,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,HighGamma + LDA,kappa,1.0,1,chronological,48,12,46,0.17539095878601074,f0ad027786a9,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,HighGamma + LDA,accuracy,1.0,1,chronological,48,12,46,0.17539095878601074,f0ad027786a9,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,HighGamma + LDA,balanced_accuracy,1.0,1,chronological,48,12,46,0.17539095878601074,f0ad027786a9,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LDA,kappa,1.0,1,chronological,48,12,46,0.18078303337097168,ad4c2abc31c8,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LDA,accuracy,1.0,1,chronological,48,12,46,0.18078303337097168,ad4c2abc31c8,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LDA,balanced_accuracy,1.0,1,chronological,48,12,46,0.18078303337097168,ad4c2abc31c8,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LogReg,kappa,1.0,1,chronological,48,12,46,0.16771817207336426,688f919f3ab0,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LogReg,accuracy,1.0,1,chronological,48,12,46,0.16771817207336426,688f919f3ab0,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LogReg,balanced_accuracy,1.0,1,chronological,48,12,46,0.16771817207336426,688f919f3ab0,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,Riemann TS + LogReg,kappa,0.8235294117647058,1,chronological,48,12,46,0.22962498664855957,b4736e60e22e,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,Riemann TS + LogReg,accuracy,0.9166666666666666,1,chronological,48,12,46,0.22962498664855957,b4736e60e22e,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,Riemann TS + LogReg,balanced_accuracy,0.9375,1,chronological,48,12,46,0.22962498664855957,b4736e60e22e,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,HighGamma + LDA,kappa,1.0,2,chronological,48,12,46,0.15316486358642578,f0ad027786a9,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,HighGamma + LDA,accuracy,1.0,2,chronological,48,12,46,0.15316486358642578,f0ad027786a9,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,HighGamma + LDA,balanced_accuracy,1.0,2,chronological,48,12,46,0.15316486358642578,f0ad027786a9,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LDA,kappa,1.0,2,chronological,48,12,46,0.17155003547668457,ad4c2abc31c8,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LDA,accuracy,1.0,2,chronological,48,12,46,0.17155003547668457,ad4c2abc31c8,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LDA,balanced_accuracy,1.0,2,chronological,48,12,46,0.17155003547668457,ad4c2abc31c8,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LogReg,kappa,1.0,2,chronological,48,12,46,0.1708240509033203,688f919f3ab0,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LogReg,accuracy,1.0,2,chronological,48,12,46,0.1708240509033203,688f919f3ab0,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LogReg,balanced_accuracy,1.0,2,chronological,48,12,46,0.1708240509033203,688f919f3ab0,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,Riemann TS + LogReg,kappa,0.6666666666666667,2,chronological,48,12,46,0.23302912712097168,b4736e60e22e,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,Riemann TS + LogReg,accuracy,0.8333333333333334,2,chronological,48,12,46,0.23302912712097168,b4736e60e22e,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,Riemann TS + LogReg,balanced_accuracy,0.875,2,chronological,48,12,46,0.23302912712097168,b4736e60e22e,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,HighGamma + LDA,kappa,1.0,3,chronological,48,12,46,0.16218805313110352,f0ad027786a9,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,HighGamma + LDA,accuracy,1.0,3,chronological,48,12,46,0.16218805313110352,f0ad027786a9,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,HighGamma + LDA,balanced_accuracy,1.0,3,chronological,48,12,46,0.16218805313110352,f0ad027786a9,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LDA,kappa,1.0,3,chronological,48,12,46,0.17193818092346191,ad4c2abc31c8,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LDA,accuracy,1.0,3,chronological,48,12,46,0.17193818092346191,ad4c2abc31c8,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LDA,balanced_accuracy,1.0,3,chronological,48,12,46,0.17193818092346191,ad4c2abc31c8,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
Miller2019-imagery_basic,bp,mot,LogBandPower + LogReg,kappa,1.0,3,chronological,48,12,46,0.1551668643951416,688f919f3ab0,0d79a81a67b3,within_subject,0.3.0.dev0,2026-09-10T20:16:28
